	Kingdom	Phylum	Class	Order	Family	Genus
ASV_1	Eukaryota	Mollusca	Bivalvia	Ostreoida	NA	NA
ASV_2	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	NA	NA
ASV_3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
ASV_4	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
ASV_5	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia/Shigella
ASV_6	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	NA	NA
ASV_7	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02
ASV_8	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	Lewinella
ASV_9	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto_1
ASV_10	Bacteria	Proteobacteria	Gammaproteobacteria	Francisellales	Francisellaceae	NA
ASV_11	Bacteria	Acidobacteria	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter
ASV_12	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria
ASV_13	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	NA	NA
ASV_14	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Seohaeicola
ASV_15	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter
ASV_16	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Pir4_lineage
ASV_17	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Ideonella
ASV_18	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Defluviimonas
